Frequency,Magnitude
1,138.45872503885323
2,148.19293771066833
3,52.84049335944469
4,50.48119552439821
5,47.7541842111345
6,77.01760255474862
7,172.39679660048193
8,232.74075776688917
9,166.76744946926428
10,95.60858166149163
11,94.56503095098755
12,45.36160225520261
13,94.03300368803896
14,59.46492451028787
15,64.62569957462088
16,90.76245042538969
17,84.80405014859514
18,56.05626070098405
19,156.67951939358272
20,54.65529750887788
21,132.23032968134356
22,88.7623752918859
23,110.70157879483519
24,270.0035702236648
25,122.61390390911359
26,111.5573158078001
27,66.42892457276317
28,87.77847594440856
29,31.504502709622027
30,50.77837340118383
31,134.58050663888616
32,262.4690852194453
33,135.98448409949486
34,118.52997652264999
35,115.7753862077715
36,67.467884869462
37,104.20865998237964
38,134.32630348595035
39,155.87059912661405
40,169.23456672726317
41,159.3031237196593
42,176.91674325790157
43,104.17447437006649
44,134.78130476584744
45,211.48991545192675
46,121.39493059801313
47,214.3101615299297
48,361.5820701400555
49,293.7708900442376
50,248.0915149353883
51,254.76710157141022
52,296.779131872763
53,274.16819319722356
54,305.1176272622505
55,392.293569420443
56,339.09373906530243
57,664.934354976837
58,878.0885344176447
59,1361.3184558897917
60,4675.95410527244
61,6501.802041338076
62,2632.997299741854
63,1047.697860512677
64,589.1533951998634
65,414.67404151575045
66,300.5176037063988
67,285.24257476151047
68,242.7727006576985
69,312.2529406489861
70,312.07974723688613
71,202.48001256357213
72,290.38269184831324
73,185.92421622756166
74,198.44231367180234
75,98.06628572664317
76,101.79924113524162
77,96.14447650123199
78,40.925857851701416
79,104.7138813446021
80,366.7924496279123
81,492.2437355278963
82,449.81753897592216
83,163.1848783019487
84,158.75549078526242
85,136.19941575510563
86,194.7521407455065
87,76.89261716996468
88,277.7756032978467
89,68.97728295868279
90,53.179232371604435
91,44.55375928638225
92,182.82710048657722
93,159.51604198024808
94,104.16940409966475
95,78.98923155581183
96,219.77534918985958
97,137.84341583499005
98,116.88017606419957
99,149.82029059185385
100,77.54620410643595
101,149.5524379371464
102,37.17455775908338
103,87.05450384624586
104,239.132869536873
105,62.28157913696981
106,138.83052608409747
107,142.6840426132143
108,207.5793892174947
109,441.6518158387347
110,295.9907929097459
111,78.06487570188997
112,233.9918065432309
113,16.74799848078739
114,63.04673902301012
115,107.46898657408248
116,102.4042385571236
117,134.93809067854312
118,268.1597504881944
119,301.34511392062245
120,151.61565281179716
121,1787.506453733589
122,1674.6940178716484
123,412.4525747878267
124,182.02499019954948
125,315.5818337522844
126,131.45443655715314
127,129.62274529464892
128,215.10978368180312
129,27.613117282339516
130,106.01923116027862
131,52.111446743439615
132,55.52538935105972
133,189.4942286633496
134,171.55421828195892
135,250.82023078320475
136,543.6375609165159
137,753.8142799585852
138,263.02439881714696
139,173.60484647067065
140,96.3424730576742
141,140.01827674825253
142,162.31900798371996
143,157.4918793408447
144,208.18283909625353
145,138.31369324947954
146,126.29001329766136
147,54.67674479653702
148,166.9361529205029
149,97.14981549775176
150,82.2196959870587
151,55.64332406654928
152,117.57946375985509
153,5.682763483824816
154,32.114085343712375
155,54.71648571901622
156,46.146263967584666
157,126.74321703242349
158,215.32415723001915
159,99.77462597772409
160,329.1267471569675
161,116.39324254361469
162,131.56328239921163
163,89.53517400361615
164,75.05175562966664
165,105.44851580503499
166,174.3397344034278
167,120.38332677412524
168,273.95729978704924
169,99.820554652385
170,217.42141657080518
171,49.47161515163831
172,87.74321385170704
173,102.9640923831687
174,162.84733606222667
175,168.4626298491884
176,390.3191549364296
177,43.749804406649005
178,212.686363314939
179,266.0171891205041
180,241.01556024802107
181,369.93622765296675
182,619.0812486530681
183,852.9287141413091
184,161.95476606158047
185,148.2470178413559
186,118.16808686542105
187,233.2666860989282
188,153.52873770078136
189,53.639622437984535
190,213.25169273095347
191,13.200406572067724
192,338.4679477650162
193,135.12257979105513
194,173.6981521875449
195,232.72612418309282
196,124.06289513250135
197,133.41683274341807
198,336.36163093376297
199,782.9667389034495
200,696.4805132978262
201,137.83699212292305
202,181.83965148642918
203,55.960133887178316
204,263.30062299393785
205,274.48478829337506
206,93.0099695224434
207,221.6781471495968
208,510.0657176269717
209,61.4946922883919
210,85.59286033825408
211,176.30115195411494
212,255.98790493173522
213,176.01342061437393
214,18.905399296202667
215,122.67412437728521
216,335.73184619736975
217,184.00691741988194
218,223.96828069551108
219,303.289046888808
220,190.7140722487105
221,205.27552524282487
222,181.4226403220877
223,286.2601913589016
224,141.52751197229708
225,234.46233953679587
226,95.85792420859465
227,277.5722800910462
228,616.6943102814728
229,208.8169915179272
230,237.98964487494828
231,293.5095213817647
232,103.59482387152346
233,414.8585369287716
234,130.36538646154986
235,315.5861298230177
236,284.21693020383213
237,362.7867093316464
238,223.75291494661985
239,188.34448801827654
240,187.98388750502437
241,259.5953544761214
242,536.5805656550957
243,1752.3914061519324
244,2453.1237279132156
245,1229.9416487103385
246,631.1736489906273
247,403.6320048996214
248,117.06785311664383
249,166.8812797733693
250,149.3747877484107
251,244.03170346193386
252,113.31238727849782
253,223.96822934570855
254,210.83324277878108
255,308.2645868338629
256,231.63109429298802
257,161.39712348307845
258,22.813486595137338
259,190.80466539438947
260,326.4565852463024
261,138.43150680683988
262,342.7910476650319
263,341.1144526265359
264,234.34691204867008
265,137.80185812787002
266,156.5264427578241
267,137.0021404371856
268,262.6022473817676
269,243.90443680742285
270,337.0495302584361
271,100.20710760166648
272,248.0791869644383
273,154.77230926410232
274,46.90310161061267
275,276.92536299199213
276,68.24228165769173
277,61.242531144212855
